Aces,First Serve points,Second Serve points,Net points,Break points,Receiving points,Winners ,Double Faults,Unforced Errors,Result
20,79,48,87,42,43,48,3,33,1
8,69,35,83,40,32,31,1,33,0
3,78,83,92,44,44,32,2,21,1
5,51,66,53,0,21,17,4,39,0
2,69,45,56,33,29,24,6,33,0
18,80,59,79,40,42,45,3,23,1
14,84,59,78,42,47,37,2,23,1
5,63,33,33,50,24,17,5,24,0
10,65,44,78,56,54,33,1,25,1
3,60,34,58,100,43,39,5,40,0
15,78,44,82,25,31,46,5,55,0
9,78,55,44,27,37,28,3,31,1
9,76,62,74,50,38,34,2,37,1
5,80,39,71,0,28,29,0,38,0
6,64,35,73,0,26,28,1,39,1
5,72,80,64,46,48,24,1,15,0
23,89,55,54,75,33,46,3,19,1
11,78,50,65,33,25,43,5,46,0
13,63,47,44,50,30,28,8,36,0
3,74,64,71,42,43,31,3,25,1
7,86,64,86,46,47,39,1,20,1
5,65,29,36,100,22,17,2,23,0
1,82,74,65,50,37,28,2,17,1
18,72,38,58,0,22,39,4,49,0
10,62,33,63,44,34,33,2,56,0
18,73,57,69,46,48,43,1,22,1
6,59,33,33,100,23,23,4,32,0
10,82,69,75,50,51,35,2,11,1
4,78,59,71,0,21,26,3,14,0
20,82,72,75,17,28,53,4,39,1
3,70,37,44,0,24,21,4,28,0
10,89,63,60,50,47,30,2,14,1
4,68,58,70,33,47,34,1,36,1
2,67,39,72,10,35,27,5,43,0
4,67,31,56,9,36,31,4,25,0
15,73,53,52,42,44,43,4,23,1
21,84,55,84,0,30,50,6,26,0
20,80,56,75,50,28,48,5,35,1
16,70,47,59,60,32,48,1,61,0
10,77,57,50,25,38,30,3,37,1
24,83,63,70,8,35,75,6,59,1
0,67,60,75,0,26,19,3,17,0
18,89,50,70,80,39,50,3,10,1
2,69,38,46,0,22,20,3,18,0
9,81,51,86,38,33,33,3,22,1
11,78,48,73,40,30,45,8,39,0
